HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required
OAM 432        : BBA & SPECSTUBUS students allowed to enroll. This section is reserved for students in the BBA program
DANC 226       : (Permission Required Prior to Enrollment) We recommend completing one semester of DANC 150 Movement Improvisation prior to taking this course. All levels of movement experience--from none to some--can come experience the joy of improvising through contact! Please email Greg Catellier for a permission number and let him know if you've taken DANC 150: gcatell@emory. Permission of the department required
OAM 438        : OAM 330 or OAM 331 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
FILM 385W      : FILM 102 and (FILM 201 or FILM 202 or FILM 203 or FILM 204 or FILM_OX 204 or FILM 205) or equivalent transfer credit
SPAN 202       : SPAN 201 or SPAN_OX 201 or equivalent transfer credit as prerequisite. Spanish 202 is a continuation of Spanish 201 and is designed to further develop students' Spanish skills. Prerequisite: successful completion of Spanish 201 at Emory, at Emory at Oxford, transfer credit for Span 201 from another institution, or permission of the Director of Placement
OAM 464        : Program restrictions apply This section is reserved for students in the BBA program
SPAN 212       : CONTENT: This course focuses on developing both cultural understanding and linguistic skills. REQUIRED TEXT: Coutard, James, Evelyn, Katryn, Gaspar, Martin. VHL, 2021. PARTICULARS: Movie screenings will be required outside of class. EVALUATION: Class participation, chapter quizzes, weekly homework, presentations, unit lesson essays. PREREQUISITE: SPAN 202 or Official Spanish Placement for SPAN 212. html SPAN 212 may be combined with a Spanish Foundational Course (300-318) or PORT 110 to satisfy both the HAL or Intercultural Communication requirement and major/minor requirements or elective
SPAN 217R      : Intended as a basis for further study, this edition of SPAN 217 helps intermediate and advanced Spanish speakers communicate effectively around illness, bodies, treatment, and public health. PREREQUISITE: Spanish 212 or Official Spanish Placement for a Foundational Spanish Course
FILM 407       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit as prerequisite. Permission of the department required
OAM 499R       : This section is reserved for students in the BBA program
SPAN 300       : The immediate pedagogical aim of Spanish 300 is to prepare students intellectually and linguistically to undertake advanced work in Spanish both at Emory and abroad. Spanish 300 satisfies the Emory College GER in "Intercultural Communication. " PREREQUISITE: SPAN 212 or an Official Spanish Placement into our Foundational Course level (Span 300-318)
DANC 342       : (Permission Required Prior to Enrollment) Contact Lori Teague (lteague@emory. edu) for a permission number. Permission of the department required
FILM 485       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit
SPAN 302W      : CONTENT: Spanish 302W is one of the foundational courses for the major and minor in Spanish. PREREQUISITE: SPAN 212 or Official Placement for a Foundational Course (Span 300-318) from the Department of Spanish and Portuguese
DANC 350       : DANC 250 AND DANC 150 or equivalent transfer credit
FILM 499R      : Permission of the department required
POLS 208       : QTM 100 or QTM_OX 100 or MATH_OX 117 or MATH_OX 117Q or QTM 220 or ECON 220 or ECON_OX 220 or POLS 310 or POLS 310W or ISOM 350 or BUS 350 or BUS_OX 350 or equivalent transfer credit
SPAN 303       : (Same as LING 303 1) In this course (taught in Spanish), we will explore how diverse pronunciations are produced and organized by Spanish-speakers (including native/heritage and second-language speakers). TEXT: Tuten, D. 2022. PARTICULARS: This course is designed for a wide variety of students, including those for whom Spanish is a primary/native or heritage language as well as for those who are learning Spanish as a second language. Span/Ling 303 is a core course for the Spanish and Linguistics Joint Major and a Foundational Course for the Spanish Major and Minor. It counts as an elective or IC/HAL course for other Linguistics majors and minors. ***If SPAN 303 is at full capacity, please consider enrolling in LING 304, which will satisfy the same major requirements and the IC requirement. *** EVALUATION is based on attendance/participation, homework assignments, exams, and performance projects. PREREQUISITE: SPAN 212, permission of instructor or an Official Spanish Placement into our Foundational Course level (Span 300-318)
DANC 360R      : DANC 350 AND DANC 250 AND DANC 150 or equivalent transfer credit
FIN 201        : This section is reserved for students in the Emory College Liberal Arts and Sciences program
DANC 421R      : (Permission Required Prior to Enrollment) Please email mara. edu for a permission number. Permission of the department required
SPAN 304       : (Same as LING 304 1) Dr. How does our interpretation change if we know more about the tone of the utterance? The answers to these questions and others similar are what we'll explore in Span/ Ling 304, starting with a general history of the field of linguistics and what human communication entails before moving into detailed discussions of the production and organization of the sounds of Spanish (fonética y fonología); the formation, structure, and meanings of words (morfología); the structure and organization of sentences (sintaxis); analyses of meaning of words, sentences and conversations (semántica y pragmática); and examples of linguistic variation. TEXT: Hualde, José Ignacio, et. New York: Cambridge University Press, 2013. PARTICULARS: Because this is an introductory course to Hispanic linguistics, no previous study of Linguistics is required, but the course is taught in Spanish. Span/ Ling 304 is a core course of the Spanish & Linguistics Joint Major and a foundational course for the Spanish Major and Minor and the Major in Spanish and Portuguese. ***If SPAN 304 is at full capacity, please consider enrolling in LING 304, which will satisfy the same major requirements and the IC requirement. *** EVALUATION is based on active class participation, homework assignments, exams (two midterms and a final) and a project/ presentation due at the end of the semester. PREREQUISITE: SPAN 212, permission of instructor, or an Official Spanish Placement into our Foundational Course level (Span 300-318)
MUS 122        : MUS 121 as prerequisite or equivalent transfer credit. (Prerequisite: MUS 121)
DANC 424R      : (Permission Required Prior to Enrollment) Please email Tara Myers for a permission number: tshepa2@emory. Permission of the department required
SPAN 318       : This 300-level course is designed to equip advanced Spanish learners with the practical language skills and cultural understanding necessary to thrive in the global business environment and workplace. Prerequisite: SPAN 212 or an Official Spanish Placement into our Foundational Course level
SPAN 330       : (Same as THEA 363 1) The objective of this course is the development of linguistic and cultural understanding in the context of theatrical performance. Prerequisite: SPAN 212 Interested students must contact Prof. Permission of the department required
DANC 454W      : (Same as WGS 454W 1) (This course is intended for junior and senior level student
DANC 491R      : (Permission Required Prior to Enrollment) Email Anne Walker, awalker@emory. edu, for a permission number. Students must have completed at least one semester of a level II dance technique class to enroll in this course. Permission of the department required
SPAN 385       : How do women negotiate cultural norms, legal structures, poverty, discrimination, and other barriers to make decisions for their lives, families, and health? How are these struggles depicted in novels, documentary films, journalism, activist publications, and other forms? Prerequisites: a Foundational Spanish Course or SPAN 217 (Spanish for Health Care)
FIN 320        : BBA or SPECSTUBUS students This section is reserved for students in the BBA program
SPAN 413W      : (Same as LING 413W 1) This course provides a descriptive and critical overview of the linguistic practices of different Spanish-speaking communities in the United States, as well as a methodology for the study of these practices. Special attention is given to ethical principles, for this reason students will need to complete the web-based Collaborative IRB Training Initiative (CITI) Program in the Protection of Human Subjects in Research. Background on general Linguistics is recommended, such as the one provided in Span/Ling 303, Span/Ling 304 or Ling 201. This course meets the sociocultural requirement of the Linguistics Major and can be used as one of the required 400-level courses for the Joint Major in Spanish & Linguistics or for the Major/Minor in Spanish. TEXTS: - El español de los Estados Unidos. EVALUATION: Evaluation will be based in class participation, weekly assignments, one exam, one research project and five written practices. PRE-REQUISITES: One foundational course, preferably SPAN/LING 303 or SPAN/LING 304
