HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required.
OAM 432        : BBA & SPECSTUBUS students allowed to enroll. This section is reserved for students in the BBA program.
DANC 226       : (Permission Required Prior to Enrollment) We recommend completing one semester of DANC 150 Movement Improvisation prior to taking this course. Contact Improvisation, an improvised duet form, explores partnering through many techniques including weight-sharing, counter balancing, momentum and stillness. We focus on bodily awareness and physical reflexes rather than consciously controlled movements. Movers shift direction, velocity, momentum and the quality of touch as they explore dancing together. In this course, dancers concentrate on how partnering with others enables them to feel sensations in their own body more acutely. All levels of movement experience--from none to some--can come experience the joy of improvising through contact! Please email Greg Catellier for a permission number and let him know if you've taken DANC 150: gcatell@emory.edu. Permission of the department required.
OAM 438        : OAM 330 or OAM 331 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
FILM 385W      : FILM 102 and (FILM 201 or FILM 202 or FILM 203 or FILM 204 or FILM_OX 204 or FILM 205) or equivalent transfer credit as prerequisites.
SPAN 202       : SPAN 201 or SPAN_OX 201 or equivalent transfer credit as prerequisite. Spanish 202 is a continuation of Spanish 201 and is designed to further develop students' Spanish skills. Students refine their grammar usage through continued review of basic structures and study of complex structures, and they expand their spoken Spanish skills through discussion and analysis of cultural topics, personal experiences, and literary and journalistic texts. Students are provided ample opportunity for focused listening through use of recorded texts (conversations, music, video) and for oral expression through general classroom and small-group discussions and oral reports. Readings in the course focus on both historical and current cultural and social issues in the Hispanic World, and writing is also developed as a communicative endeavor, with emphasis on the preparation of written compositions/reports based on the cultural components of the course. Prerequisite: successful completion of Spanish 201 at Emory, at Emory at Oxford, transfer credit for Span 201 from another institution, or permission of the Director of Placement.
OAM 464        : Program restrictions apply This section is reserved for students in the BBA program.
SPAN 212       : CONTENT: This course focuses on developing both cultural understanding and linguistic skills. It explores cultural issues in the Hispanic world, such as diversity, gender roles and power structures through writing about and discussion of written texts and films. These texts also serve as the basis for practicing Spanish vocabulary and grammar in context, as well as honing listening, speaking, and particularly, reading and writing skills. By the end of the course, students should be able to use critical thinking skills in Spanish to interpret and discuss literature and film in Spanish, gain advanced proficiency in reading and writing the language, and gain knowledge of significant historical events. REQUIRED TEXT: Coutard, James, Evelyn, Katryn, Gaspar, Martin. Intrigas, 3rd ed. VHL, 2021. PARTICULARS: Movie screenings will be required outside of class. EVALUATION: Class participation, chapter quizzes, weekly homework, presentations, unit lesson essays. PREREQUISITE: SPAN 202 or Official Spanish Placement for SPAN 212. Take the online Spanish Placement Exam at https://spanport.emory.edu/undergraduate/placement/index.html SPAN 212 may be combined with a Spanish Foundational Course (300-318) or PORT 110 to satisfy both the HAL or Intercultural Communication requirement and major/minor requirements or electives. See https://spanport.emory.edu for details.
SPAN 217R      : Intended as a basis for further study, this edition of SPAN 217 helps intermediate and advanced Spanish speakers communicate effectively around illness, bodies, treatment, and public health. It includes grammar and vocabulary frequently used in interactions between healthcare professionals and patients. Its emphasis on oral and written narratives cultivates the skills of reading, listening, analysis, and reflection as well as speaking and writing. Cultural topics include the history of medicine, health narratives, and bioethics. Required textbook: Spanish for Health Care and Human Services: An Interdisciplinary Approach for Intermediate and Advanced Speakers by Alicia Muñoz Sánchez and Natalia Santamaría Laorden, print or digital edition, published by Cognella. PREREQUISITE: Spanish 212 or Official Spanish Placement for a Foundational Spanish Course. Take the Spanish Placement Exam at https://spanport.emory.edu/undergraduate/placement/placement-exam.html
FILM 407       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit as prerequisite. Permission of the department required.
OAM 499R       : This section is reserved for students in the BBA program. While most people list happiness as one of their central life goals, people are surprisingly bad at knowing what will make them happy. In this course, we will explore what science can tell us about what actually makes people happy both personally and professionally. We will begin by examining how scientists define and measure happiness and some of the benefits of happiness for individuals and organizations. Next, we will examine the features of our minds that often make us less happy and how to combat them. We will then turn to what science can teach us about how to be happier, less stressed, and more fulfilled in our personal and professional lives. Students will have multiple opportunities to put these practices into action and will be encouraged to develop ways to build them into their current and future lives.
